Order	Family	Regalado	Load	Roger	NA	alpha1	alpha2	PseudoSphingo	Load2
Bacteria	Desulfovibrionaceae	#BF5B17	#000000	#BF5B17	#000000	0.3	1	#000000	#000000
Bacteria	Oscillochloridaceae	#666666	#000000	#666666	#000000	0.3	1	#000000	#000000
Bacteria	Bacteriovoracaceae	#1B9E77	#000000	#1B9E77	#000000	0.3	1	#000000	#000000
Bacteria	Parachlamydiaceae	#D95F02	#000000	#D95F02	#000000	0.3	1	#000000	#000000
Bacteria	Rikenellaceae	#7570B3	#000000	#7570B3	#000000	0.3	1	#000000	#000000
Bacteria	Neisseriaceae	#E7298A	#000000	#E7298A	#000000	0.3	1	#000000	#000000
Bacteria	Rhodothermaceae	#66A61E	#000000	#66A61E	#000000	0.3	1	#000000	#000000
Bacteria	Campylobacteraceae	#E6AB02	#000000	#E6AB02	#000000	0.3	1	#000000	#000000
Bacteria	Rhodocyclaceae	#A6761D	#000000	#A6761D	#000000	0.3	1	#000000	#000000
Bacteria	Dietziaceae	#666666	#000000	#666666	#000000	0.3	1	#000000	#000000
Bacteria	Eubacteriaceae	#A6CEE3	#000000	#A6CEE3	#000000	0.3	1	#000000	#000000
Bacteria	Sporichthyaceae	#1F78B4	#000000	#1F78B4	#000000	0.3	1	#000000	#000000
Bacteria	Dermacoccaceae	#B2DF8A	#000000	#B2DF8A	#000000	0.3	1	#000000	#000000
Bacteria	Syntrophomonadaceae	#33A02C	#000000	#33A02C	#000000	0.3	1	#000000	#000000
Bacteria	Desulfobulbaceae	#FB9A99	#000000	#FB9A99	#000000	0.3	1	#000000	#000000
Bacteria	Synergistaceae	#E31A1C	#000000	#E31A1C	#000000	0.3	1	#000000	#000000
Bacteria	Shewanellaceae	#FDBF6F	#000000	#FDBF6F	#000000	0.3	1	#000000	#000000
Bacteria	Gaiellaceae	#FF7F00	#000000	#FF7F00	#000000	0.3	1	#000000	#000000
Bacteria	Syntrophaceae	#CAB2D6	#000000	#CAB2D6	#000000	0.3	1	#000000	#000000
Bacteria	Saprospiraceae	#6A3D9A	#000000	#6A3D9A	#000000	0.3	1	#000000	#000000
Bacteria	Coxiellaceae	#FFFF99	#000000	#FFFF99	#000000	0.3	1	#000000	#000000
Bacteria	Piscirickettsiaceae	#B15928	#000000	#B15928	#000000	0.3	1	#000000	#000000
Bacteria	Fibrobacteraceae	#FBB4AE	#000000	#FBB4AE	#000000	0.3	1	#000000	#000000
Bacteria	Alicyclobacillaceae	#B3CDE3	#000000	#B3CDE3	#000000	0.3	1	#000000	#000000
Bacteria	Desulfuromonadaceae	#CCEBC5	#000000	#CCEBC5	#000000	0.3	1	#000000	#000000
